recv[306] = -1.039500, LLR [306] = 0.000000
recv[307] = -1.066318, LLR [307] = 0.000000
recv[308] = 0.949398, LLR [308] = 0.000000
recv[309] = 1.078608, LLR [309] = 0.000000
recv[310] = 0.793547, LLR [310] = 0.000000
recv[311] = 0.909688, LLR [311] = 0.000000
recv[312] = -0.947482, LLR [312] = 0.000000
recv[313] = 0.940653, LLR [313] = 0.000000
recv[314] = -0.979464, LLR [314] = 0.000000
recv[315] = -1.071227, LLR [315] = 0.000000
recv[316] = 0.994495, LLR [316] = 0.000000
recv[317] = -0.909208, LLR [317] = 0.000000
recv[318] = 0.981185, LLR [318] = 0.000000
recv[319] = -1.031457, LLR [319] = 0.000000
recv[320] = 0.796897, LLR [320] = 0.000000
recv[321] = 1.024863, LLR [321] = 0.000000
recv[322] = -0.883935, LLR [322] = 0.000000
recv[323] = 1.052645, LLR [323] = 0.000000
recv[324] = 1.018669, LLR [324] = 0.000000
recv[325] = 1.038739, LLR [325] = 0.000000
recv[326] = -0.796638, LLR [326] = 0.000000
recv[327] = -0.778639, LLR [327] = 0.000000
recv[328] = -1.216099, LLR [328] = 0.000000
recv[329] = 1.059387, LLR [329] = 0.000000
recv[330] = 1.069944, LLR [330] = 0.000000
recv[331] = -1.064808, LLR [331] = 0.000000
recv[332] = 0.814227, LLR [332] = 0.000000
recv[333] = 1.085543, LLR [333] = 0.000000
recv[334] = -0.892653, LLR [334] = 0.000000
recv[335] = -0.899003, LLR [335] = 0.000000
recv[336] = 0.904627, LLR [336] = 0.000000
recv[337] = 0.946556, LLR [337] = 0.000000
recv[338] = 0.985496, LLR [338] = 0.000000
recv[339] = 1.120934, LLR [339] = 0.000000
recv[340] = 1.028635, LLR [340] = 0.000000
recv[341] = 0.979998, LLR [341] = 0.000000
recv[342] = 1.064137, LLR [342] = 0.000000
recv[343] = -0.897327, LLR [343] = 0.000000
recv[344] = -1.013736, LLR [344] = 0.000000
recv[345] = 0.999909, LLR [345] = 0.000000
recv[346] = 0.840808, LLR [346] = 0.000000
recv[347] = 0.924547, LLR [347] = 0.000000
recv[348] = -1.042795, LLR [348] = 0.000000
recv[349] = 1.012325, LLR [349] = 0.000000
recv[350] = -0.816811, LLR [350] = 0.000000
recv[351] = -0.984390, LLR [351] = 0.000000
recv[352] = 0.941083, LLR [352] = 0.000000
recv[353] = 0.897878, LLR [353] = 0.000000
recv[354] = 1.144205, LLR [354] = 0.000000
recv[355] = 0.868433, LLR [355] = 0.000000
recv[356] = 1.058118, LLR [356] = 0.000000
recv[357] = 0.905635, LLR [357] = 0.000000
recv[358] = 0.976997, LLR [358] = 0.000000
recv[359] = -0.981072, LLR [359] = 0.000000
recv[360] = 0.944922, LLR [360] = 0.000000
recv[361] = 0.888953, LLR [361] = 0.000000
recv[362] = -1.218412, LLR [362] = 0.000000
recv[363] = -0.984614, LLR [363] = 0.000000
recv[364] = 1.066419, LLR [364] = 0.000000
recv[365] = 0.986987, LLR [365] = 0.000000
recv[366] = 1.024794, LLR [366] = 0.000000
recv[367] = -0.896375, LLR [367] = 0.000000
recv[368] = 0.998901, LLR [368] = 0.000000
recv[369] = -1.229566, LLR [369] = 0.000000
recv[370] = 0.929868, LLR [370] = 0.000000
recv[371] = -1.089649, LLR [371] = 0.000000
recv[372] = 1.093674, LLR [372] = 0.000000
recv[373] = -1.047039, LLR [373] = 0.000000
recv[374] = -1.075271, LLR [374] = 0.000000
recv[375] = 0.777770, LLR [375] = 0.000000
recv[376] = -1.072353, LLR [376] = 0.000000
recv[377] = -1.195221, LLR [377] = 0.000000
recv[378] = 0.786261, LLR [378] = 0.000000
recv[379] = 1.146732, LLR [379] = 0.000000
recv[380] = 0.956218, LLR [380] = 0.000000
recv[381] = 0.991367, LLR [381] = 0.000000
recv[382] = -0.879531, LLR [382] = 0.000000
recv[383] = 0.971742, LLR [383] = 0.000000
recv[384] = 1.228977, LLR [384] = 0.000000
recv[385] = 1.086069, LLR [385] = 0.000000
recv[386] = -0.970755, LLR [386] = 0.000000
recv[387] = 0.983455, LLR [387] = 0.000000
recv[388] = 0.891039, LLR [388] = 0.000000
recv[389] = 0.984297, LLR [389] = 0.000000
recv[390] = 0.913584, LLR [390] = 0.000000
recv[391] = -1.066175, LLR [391] = 0.000000
recv[392] = -0.981994, LLR [392] = 0.000000
recv[393] = -1.107785, LLR [393] = 0.000000
recv[394] = 1.023450, LLR [394] = 0.000000
recv[395] = 0.905702, LLR [395] = 0.000000
recv[396] = 0.914482, LLR [396] = 0.000000
recv[397] = 1.113326, LLR [397] = 0.000000
recv[398] = 1.043361, LLR [398] = 0.000000
recv[399] = 0.964529, LLR [399] = 0.000000
recv[400] = 0.886946, LLR [400] = 0.000000
recv[401] = -0.884650, LLR [401] = 0.000000
recv[402] = 0.969443, LLR [402] = 0.000000
recv[403] = -0.877431, LLR [403] = 0.000000
recv[404] = 0.939740, LLR [404] = 0.000000
recv[405] = -0.885465, LLR [405] = 0.000000
